ID,TypeQuestion,Titre,Options,Logique,Description,Paramètres (JSON)
Q01,QCU_CAT,"To make an important decision, I mainly rely on...",My factual and logical analysis;My intuition and future opportunities,B;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""My factual and logical analysis"",""profil"":""B"",""valeur"":1},{""libelle"":""My intuition and future opportunities"",""profil"":""J"",""valeur"":1}]}"
Q02,QCU_CAT,"When facing an obstacle, my first reaction is to...",Find a quick and direct solution to overcome it;Step back to preserve the group's harmony,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Find a quick and direct solution to overcome it"",""profil"":""R"",""valeur"":1},{""libelle"":""Step back to preserve the group's harmony"",""profil"":""V"",""valeur"":1}]}"
Q03,QCU_CAT,I am most proud of my achievements when...,I have exceeded an ambitious goal;I have inspired others with a new vision,R;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""I have exceeded an ambitious goal"",""profil"":""R"",""valeur"":1},{""libelle"":""I have inspired others with a new vision"",""profil"":""J"",""valeur"":1}]}"
Q04,QCU_CAT,A good work environment is above all...,"Structured, with clear processes;Cooperative, with a strong team spirit",B;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Structured, with clear processes"",""profil"":""B"",""valeur"":1},{""libelle"":""Cooperative, with a strong team spirit"",""profil"":""V"",""valeur"":1}]}"
Q05,QCU_CAT,"In a negotiation, my objective is to...",Win by getting the best possible result;Ensure that the plan is respected,R;B,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Win by getting the best possible result"",""profil"":""R"",""valeur"":1},{""libelle"":""Ensure that the plan is respected"",""profil"":""B"",""valeur"":1}]}"
Q06,QCU_CAT,I prefer a project that allows me to...,Build strong bonds with my colleagues;Explore original and unconventional ideas,V;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Build strong bonds with my colleagues"",""profil"":""V"",""valeur"":1},{""libelle"":""Explore original and unconventional ideas"",""profil"":""J"",""valeur"":1}]}"
Q07,QCU_CAT,A team's performance mainly depends on...,Quickly achieving set goals;The quality of relationships among its members,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Quickly achieving set goals"",""profil"":""R"",""valeur"":1},{""libelle"":""The quality of relationships among its members"",""profil"":""V"",""valeur"":1}]}"
Q08,QCU_CAT,"To learn, I need to...","Follow a structured, step-by-step training;Experiment freely and interact with others",B;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Follow a structured, step-by-step training"",""profil"":""B"",""valeur"":1},{""libelle"":""Experiment freely and interact with others"",""profil"":""J"",""valeur"":1}]}"
Q09,QCU_CAT,"Leadership, above all, is about...",Guiding the team towards measurable results;Ensuring everyone feels included and valued,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Guiding the team towards measurable results"",""profil"":""R"",""valeur"":1},{""libelle"":""Ensuring everyone feels included and valued"",""profil"":""V"",""valeur"":1}]}"
Q10,QCU_CAT,What stresses me out the most is...,The lack of clarity in objectives;The lack of flexibility and spontaneity,B;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""The lack of clarity in objectives"",""profil"":""B"",""valeur"":1},{""libelle"":""The lack of flexibility and spontaneity"",""profil"":""J"",""valeur"":1}]}"
Q11,QCU_CAT,I take a risk if...,The potential gain is high and quick;It allows exploring a new and stimulating path,R;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""The potential gain is high and quick"",""profil"":""R"",""valeur"":1},{""libelle"":""It allows exploring a new and stimulating path"",""profil"":""J"",""valeur"":1}]}"
Q12,QCU_CAT,"During a conflict, I tend to...",Rely on facts to find an objective solution;Listen to everyone's emotions to ease tensions,B;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Rely on facts to find an objective solution"",""profil"":""B"",""valeur"":1},{""libelle"":""Listen to everyone's emotions to ease tensions"",""profil"":""V"",""valeur"":1}]}"
Q13,QCU_CAT,A project is successful if...,The deadlines and budget were perfectly met;It was carried out in a direct and efficient manner,B;R,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""The deadlines and budget were perfectly met"",""profil"":""B"",""valeur"":1},{""libelle"":""It was carried out in a direct and efficient manner"",""profil"":""R"",""valeur"":1}]}"
Q14,QCU_CAT,I feel most comfortable in the role of...,"A mediator, who facilitates communication;An innovator, who brings a breath of fresh air",V;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""A mediator, who facilitates communication"",""profil"":""V"",""valeur"":1},{""libelle"":""An innovator, who brings a breath of fresh air"",""profil"":""J"",""valeur"":1}]}"
Q15,QCU_CAT,"For me, competition is...",An essential driver to surpass myself;A source of tension that can harm the team,R;V,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""An essential driver to surpass myself"",""profil"":""R"",""valeur"":1},{""libelle"":""A source of tension that can harm the team"",""profil"":""V"",""valeur"":1}]}"
Q16,QCU_CAT,I prefer my work to be evaluated on...,The quality and precision of my analyses;My positive impact and influence on others,B;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""The quality and precision of my analyses"",""profil"":""B"",""valeur"":1},{""libelle"":""My positive impact and influence on others"",""profil"":""J"",""valeur"":1}]}"
