ID,TypeQuestion,Titre,Options,Logique,Description,Paramètres (JSON),Axe
CD01-Q01,QCU_CAT,"Face à un problème complexe, vous :",Générez de nombreuses idées variées; Cherchez immédiatement la meilleure solution applicable,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Générez de nombreuses idées variées"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Cherchez immédiatement la meilleure solution applicable"", ""profil"": ""K"", ""valeur"": 1}]}",Idéation
CD01-Q02,QCU_CAT,Votre priorité dans un brainstorming :,Explorer toutes les pistes; Identifier rapidement la plus réaliste,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Explorer toutes les pistes"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Identifier rapidement la plus réaliste"", ""profil"": ""K"", ""valeur"": 1}]}",Idéation
CD01-Q03,QCU_CAT,"Pour innover, vous :",Combinez des idées issues de domaines différents; Améliorez un concept existant,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Combinez des idées issues de domaines différents"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Améliorez un concept existant"", ""profil"": ""K"", ""valeur"": 1}]}",Innovation
CD01-Q04,QCU_CAT,"Devant une contrainte forte, vous :",Cherchez à contourner la règle; Trouvez la meilleure solution dans le cadre imposé,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Cherchez à contourner la règle"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Trouvez la meilleure solution dans le cadre imposé"", ""profil"": ""K"", ""valeur"": 1}]}",Gestion des contraintes
CD01-Q05,QCU_CAT,"Lorsque vous planifiez un projet créatif, vous :",Expérimentez plusieurs approches; Suivez un plan établi,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Expérimentez plusieurs approches"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Suivez un plan établi"", ""profil"": ""K"", ""valeur"": 1}]}",Mise en œuvre
CD01-Q06,QCU_CAT,Votre manière de résoudre un problème :,Explorer sans filtre au départ; Filtrer dès le début pour rester ciblé,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Explorer sans filtre au départ"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Filtrer dès le début pour rester ciblé"", ""profil"": ""K"", ""valeur"": 1}]}",Sélection
CD01-Q07,QCU_CAT,"Pour développer un produit, vous :",Imaginez un maximum de versions possibles; Sélectionnez immédiatement une direction précise,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Imaginez un maximum de versions possibles"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Sélectionnez immédiatement une direction précise"", ""profil"": ""K"", ""valeur"": 1}]}",Idéation
CD01-Q08,QCU_CAT,Votre inspiration vient plutôt :,De connexions inattendues; D'une analyse approfondie de la situation,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""De connexions inattendues"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" D'une analyse approfondie de la situation"", ""profil"": ""K"", ""valeur"": 1}]}",Innovation
CD01-Q09,QCU_CAT,"Quand une idée originale émerge, vous :",L'explorez même si elle semble irréaliste; Évaluez sa faisabilité avant d'aller plus loin,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""L'explorez même si elle semble irréaliste"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" Évaluez sa faisabilité avant d'aller plus loin"", ""profil"": ""K"", ""valeur"": 1}]}",Sélection
CD01-Q10,QCU_CAT,Votre énergie créative est stimulée par :,La diversité et la nouveauté; La clarté et les contraintes,r;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""La diversité et la nouveauté"", ""profil"": ""r"", ""valeur"": 1}, {""libelle"": "" La clarté et les contraintes"", ""profil"": ""K"", ""valeur"": 1}]}",Idéation
