ID,TypeQuestion,Titre,Options,Logique,Description,Paramètres (JSON)
Q01,QCU_CAT,Quelle attitude privilégiez-vous dans vos relations ?,Être juste et objectif; Être compatissant et attentionné,T;F,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Être juste et objectif"",""profil"":""T"",""valeur"":1},{""libelle"":""Être compatissant et attentionné"",""profil"":""F"",""valeur"":1}]}"
Q02,QCU_CAT,Quelle méthode utilisez-vous pour résoudre les dilemmes ?,Réfléchir d’abord seul; En parler pour clarifier,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Réfléchir d’abord seul"",""profil"":""I"",""valeur"":1},{""libelle"":""En parler pour clarifier"",""profil"":""E"",""valeur"":1}]}"
Q03,QCU_CAT,Comment gérez-vous les tâches accomplies ?,Cocher la tâche; Passer à la suivante,J;P,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Cocher la tâche"",""profil"":""J"",""valeur"":1},{""libelle"":""Passer à la suivante"",""profil"":""P"",""valeur"":1}]}"
Q04,QCU_CAT,Quel défaut vous semble le plus pénalisant ?,Être trop émotif; Être trop distant,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Être trop émotif"",""profil"":""F"",""valeur"":1},{""libelle"":""Être trop distant"",""profil"":""T"",""valeur"":1}]}"
Q05,QCU_CAT,Quelle lecture choisissez-vous pour vous détendre ?,Science-fiction; Histoires réalistes,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Science-fiction"",""profil"":""N"",""valeur"":1},{""libelle"":""Histoires réalistes"",""profil"":""S"",""valeur"":1}]}"
Q06,QCU_CAT,Comment préférez-vous clarifier vos idées ?,En parler; Réfléchir seul d'abord,E;I,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""En parler"",""profil"":""E"",""valeur"":1},{""libelle"":""Réfléchir seul d'abord"",""profil"":""I"",""valeur"":1}]}"
Q07,QCU_CAT,Sur quoi portent vos observations en situation nouvelle ?,Détails présents; Schémas ou alternatives,S;N,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Détails présents"",""profil"":""S"",""valeur"":1},{""libelle"":""Schémas ou alternatives"",""profil"":""N"",""valeur"":1}]}"
Q08,QCU_CAT,Comment préparez-vous vos loisirs ?,Improviser; Programmer précisément,P;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Improviser"",""profil"":""P"",""valeur"":1},{""libelle"":""Programmer précisément"",""profil"":""J"",""valeur"":1}]}"
Q09,QCU_CAT,Quelle est votre approche pour les échéances ?,Commencer tôt; Travailler sous pression,J;P,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Commencer tôt"",""profil"":""J"",""valeur"":1},{""libelle"":""Travailler sous pression"",""profil"":""P"",""valeur"":1}]}"
Q10,QCU_CAT,Comment exprimez-vous vos idées en groupe ?,Parler facilement; Écouter d'abord,E;I,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Parler facilement"",""profil"":""E"",""valeur"":1},{""libelle"":""Écouter d'abord"",""profil"":""I"",""valeur"":1}]}"
Q11,QCU_CAT,Comment envisagez-vous l'avenir ?,Imaginer ce qui pourrait arriver; Vous fier à l'expérience,N;S,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Imaginer ce qui pourrait arriver"",""profil"":""N"",""valeur"":1},{""libelle"":""Vous fier à l'expérience"",""profil"":""S"",""valeur"":1}]}"
Q12,QCU_CAT,Quelle flexibilité adoptez-vous dans votre planning ?,Laisser de l'imprévu; Tout planifier,P;J,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Laisser de l'imprévu"",""profil"":""P"",""valeur"":1},{""libelle"":""Tout planifier"",""profil"":""J"",""valeur"":1}]}"
Q13,QCU_CAT,Comment apprivoisez-vous la nouveauté sociale ?,Observer avant d'agir; À l'aise rapidement,I;E,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Observer avant d'agir"",""profil"":""I"",""valeur"":1},{""libelle"":""À l'aise rapidement"",""profil"":""E"",""valeur"":1}]}"
Q14,QCU_CAT,Sur quoi basez-vous vos décisions ?,Expérience passée; Imaginer des possibilités,S;N,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Expérience passée"",""profil"":""S"",""valeur"":1},{""libelle"":""Imaginer des possibilités"",""profil"":""N"",""valeur"":1}]}"
Q15,QCU_CAT,Quel angle privilégiez-vous pour évaluer ?,Impact émotionnel; Critères logiques,F;T,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"":""Impact émotionnel"",""profil"":""F"",""valeur"":1},{""libelle"":""Critères logiques"",""profil"":""T"",""valeur"":1}]}"
